Time,APM 1 CPU,APM 1 Memory,APM 2 CPU,APM 2 Memory,APM 3 CPU,APM 3 Memory,APM 4 CPU,APM 4 Memory,APM 5 CPU,APM 5 Memory,APM 6 CPU,APM 6 Memory
5,0.0 , 0.0 ,0.0 , 0.0 ,42.8 , 0.0 ,0.0 , 0.0 ,43.6 , 7.0 ,0.0 , 0.1
11,0.0 , 0.0 ,0.0 , 0.0 ,44.0 , 0.0 ,0.0 , 0.0 ,44.3 , 7.0 ,0.0 , 0.1
17,0.0 , 0.0 ,0.0 , 0.0 ,47.0 , 0.0 ,0.0 , 0.0 ,47.2 , 7.0 ,0.0 , 0.2
22,0.0 , 0.0 ,0.0 , 0.0 ,46.3 , 0.0 ,0.0 , 0.0 ,46.5 , 7.0 ,0.0 , 0.2
28,0.0 , 0.0 ,0.0 , 0.0 ,47.6 , 0.0 ,0.0 , 0.0 ,47.8 , 7.0 ,0.0 , 0.4
34,0.0 , 0.0 ,0.0 , 0.0 ,47.1 , 0.0 ,0.0 , 0.0 ,47.2 , 7.0 ,0.0 , 0.4
39,0.0 , 0.0 ,0.0 , 0.0 ,51.3 , 0.0 ,0.0 , 0.0 ,43.4 , 0.0 ,0.0 , 0.4
45,0.0 , 0.0 ,0.0 , 0.0 ,55.9 , 0.0 ,0.0 , 0.0 ,38.6 , 0.0 ,0.0 , 0.4
50,0.0 , 0.0 ,0.0 , 0.0 ,60.5 , 0.0 ,0.0 , 0.0 ,34.7 , 0.0 ,0.0 , 0.5
55,0.0 , 0.0 ,0.0 , 0.0 ,63.4 , 0.0 ,0.0 , 0.0 ,31.0 , 0.0 ,0.0 , 0.5
61,0.0 , 0.0 ,0.0 , 0.0 ,66.6 , 0.0 ,0.0 , 0.0 ,28.4 , 0.0 ,0.0 , 0.5
66,0.0 , 0.0 ,0.0 , 0.0 ,69.1 , 0.0 ,0.2 , 0.0 ,26.3 , 0.0 ,0.0 , 0.7
71,0.0 , 0.0 ,0.0 , 0.0 ,63.6 , 0.0 ,0.4 , 0.0 ,24.1 , 0.0 ,0.0 , 0.7
77,0.0 , 0.0 ,0.0 , 0.0 ,59.5 , 0.0 ,0.5 , 0.0 ,22.5 , 0.0 ,0.0 , 0.7
82,0.0 , 0.0 ,0.0 , 0.0 ,55.9 , 0.0 ,0.7 , 0.0 ,21.1 , 0.0 ,0.0 , 0.8
87,0.0 , 0.0 ,0.0 , 0.0 ,52.7 , 0.0 ,0.8 , 0.0 ,19.9 , 0.0 ,0.0 , 0.8
92,0.0 , 0.0 ,0.0 , 0.0 ,49.8 , 0.0 ,0.9 , 0.0 ,18.8 , 0.0 ,0.0 , 0.9
97,0.0 , 0.0 ,0.0 , 0.0 ,47.2 , 0.0 ,0.9 , 0.0 ,17.9 , 0.0 ,0.0 , 0.9
102,0.0 , 0.0 ,0.0 , 0.0 ,47.6 , 0.0 ,1.0 , 0.0 ,16.8 , 0.0 ,0.0 , 1.1
108,0.0 , 0.0 ,0.0 , 0.0 ,49.6 , 0.0 ,1.1 , 0.0 ,16.0 , 0.0 ,0.0 , 1.1
113,0.0 , 0.0 ,0.0 , 0.0 ,50.0 , 0.0 ,1.1 , 0.0 ,17.3 , 7.4 ,0.0 , 1.2
119,0.0 , 0.0 ,0.0 , 0.0 ,49.6 , 0.0 ,1.2 , 0.0 ,18.6 , 7.4 ,0.0 , 1.2
124,0.0 , 0.0 ,0.0 , 0.0 ,49.3 , 0.0 ,1.2 , 0.0 ,19.8 , 7.4 ,0.0 , 1.3
130,0.0 , 0.0 ,0.0 , 0.0 ,49.4 , 0.0 ,1.3 , 0.0 ,21.0 , 7.4 ,0.0 , 1.3
136,0.0 , 0.0 ,0.0 , 0.0 ,49.2 , 0.0 ,1.3 , 0.0 ,22.0 , 7.4 ,0.0 , 1.3
141,0.0 , 0.0 ,0.0 , 0.0 ,49.3 , 0.0 ,1.3 , 0.0 ,23.1 , 7.4 ,0.0 , 1.4
147,0.0 , 0.0 ,0.0 , 0.0 ,49.1 , 0.0 ,1.4 , 0.0 ,23.8 , 0.0 ,0.0 , 1.4
152,0.0 , 0.0 ,0.0 , 0.0 ,50.7 , 0.0 ,1.4 , 0.0 ,23.0 , 0.0 ,0.0 , 1.5
157,0.0 , 0.0 ,0.0 , 0.0 ,52.0 , 0.0 ,1.4 , 0.0 ,22.1 , 0.0 ,0.0 , 1.6
163,0.0 , 0.0 ,0.0 , 0.0 ,53.5 , 0.0 ,1.5 , 0.0 ,21.4 , 0.0 ,0.0 , 1.6
