Time,RX Data Rate,TX Data Rate,Disk Writes,Disk Capacity
5, 52,0,49.41,46646
11, 87,0,48.06,46646
17, 200,8,46.82,46646
22, 281,8,45.75,46646
28, 387,7,44.65,46646
34, 413,6,43.57,46646
39, 431,5,43.56,46646
45, 442,4,42.61,46646
50, 439,4,41.80,46646
55, 489,3,40.92,46646
61, 467,3,40.06,46626
66, 463,2,118.69,46498
71, 449,2,527.94,46370
77, 502,1,1059.24,46113
82, 485,10,1236.70,46114
87, 469,10,1916.29,46114
92, 446,9,1881.32,45600
97, 481,8,2549.51,45602
102, 458,6,2503.91,45602
108, 446,5,2818.99,45602
113, 429,5,3170.27,45603
119, 454,4,3286.21,44575
124, 436,3,3637.70,44579
130, 430,3,3909.51,44579
136, 486,2,4210.32,44579
141, 460,2,4302.65,44579
147, 452,10,4783.66,44579
152, 435,10,4708.57,44579
157, 456,9,4944.72,44579
163, 434,8,5284.73,44579
168, 415,6,5750.86,44579
173, 434,5,5696.44,42523
179, 448,5,5763.75,42523
184, 425,4,6084.96,42531
189, 417,3,6143.95,42531
194, 460,3,6434.75,42531
199, 452,2,6488.97,42531
204, 431,2,6781.91,42531
210, 426,15,6962.25,42531
215, 487,17,7207.37,42531
220, 473,14,7245.07,42531
226, 450,12,7492.94,42531
231, 431,10,7527.18,42531
236, 462,9,7857.11,42531
242, 445,8,8002.80,42531
248, 428,6,8197.51,42531
253, 475,5,8216.22,42531
259, 478,5,8503.09,42531
265, 458,4,8518.49,42531
270, 438,3,8807.11,42531
276, 488,15,8708.20,42531
281, 470,15,9042.24,38419
286, 450,13,8951.06,38419
291, 429,11,9080.25,38435
296, 465,9,9269.47,38435
302, 457,8,9285.08,38435
307, 438,7,9484.19,38435
312, 425,6,9497.27,38435
317, 460,5,9675.69,38435
322, 438,4,9680.27,38435
328, 427,3,9880.41,38435
333, 433,3,9882.83,38435
339, 540,12,10057.72,38435
344, 514,16,10158.39,38435
349, 484,14,10311.80,38435
355, 529,12,10305.51,38435
361, 507,10,10418.90,38435
366, 479,8,10507.62,38435
372, 450,7,10628.20,38435
377, 470,6,10622.41,38435
383, 447,5,10763.55,38435
388, 426,4,10669.86,38435
393, 407,4,10906.21,38435
398, 433,3,10812.58,38435
403, 429,16,10901.94,38435
409, 418,18,11049.72,38435
414, 411,15,11046.86,38435
419, 445,13,11216.55,38435
424, 424,11,11211.18,38435
429, 404,9,11339.59,38435
434, 466,8,11328.22,38435
440, 464,7,11465.52,38435
446, 458,6,11533.86,38435
451, 438,5,11642.72,38435
457, 502,4,11625.80,38435
463, 469,3,11782.90,38435
468, 453,16,11766.13,38435
474, 492,17,11938.96,38435
480, 481,14,11922.88,38435
485, 449,11,12040.26,38435
490, 428,10,12030.68,38435
495, 490,8,12226.45,38435
501, 480,7,12137.99,38435
506, 452,6,12204.08,30210
511, 431,5,12269.65,30243
516, 483,4,12384.14,30243
521, 467,4,12371.31,30243
526, 441,3,12496.24,30243
531, 429,9,12482.18,30243
537, 494,15,12593.86,30243
542, 473,12,12675.85,30243
548, 443,10,12581.22,30243
554, 464,8,12631.74,30243
559, 467,7,12694.57,30243
565, 436,5,12840.28,30243
570, 412,4,12746.02,30243
576, 467,4,12797.23,30243
581, 444,3,12896.97,30243
587, 425,2,12875.65,30243
592, 401,2,12967.20,30243
598, 450,8,12951.24,30243
603, 456,13,13038.21,30243
608, 436,11,12956.30,30243
613, 476,10,13131.74,30243
618, 526,8,13118.04,30243
623, 496,7,13275.80,30243
628, 480,6,13194.56,30243
634, 549,5,13239.64,30243
639, 589,4,13334.29,30243
645, 646,3,13385.79,30243
650, 646,3,13361.36,30243
656, 662,2,13499.80,30243
661, 646,8,13410.09,30243
667, 638,16,13536.65,30243
673, 591,14,13514.89,30243
678, 594,12,13492.58,30243
684, 551,10,13585.18,30243
689, 515,9,13563.92,30243
694, 544,7,13655.80,30243
700, 527,6,13637.66,30243
705, 502,5,13724.57,30243
710, 474,4,13706.56,30243
715, 519,4,13795.04,30243
720, 499,3,13776.68,30243
725, 471,6,13863.63,30243
730, 459,13,13787.29,30243
736, 506,12,13934.11,30243
741, 488,10,13908.67,30243
746, 462,9,14006.86,30243
752, 436,8,13977.11,30243
758, 465,6,14079.79,30243
763, 445,5,14050.28,30243
769, 423,5,14146.09,30243
774, 467,4,14064.26,30243
780, 460,3,14166.00,30243
785, 426,3,14137.88,30243
791, 411,9,14257.15,30243
796, 503,12,14180.00,30243
802, 487,10,14300.56,30243
807, 469,9,14224.88,30243
813, 454,8,14342.98,30243
818, 486,6,14270.84,30243
823, 473,5,14297.27,30243
828, 458,5,14362.54,30243
833, 443,4,14339.98,30243
838, 471,3,14463.55,30243
843, 458,3,14389.03,46646
849, 442,2,14314.72,46646
854, 473,2,14238.16,46646
860, 484,5,14159.43,46646
865, 465,5,14080.38,46646
871, 443,4,14000.49,46646
877, 474,3,13922.53,46646
883, 462,3,13846.44,46646
889, 451,2,13771.84,46646
895, 515,2,13696.51,46646
901, 501,1,13623.82,46646
